E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
2.7735	24	proton	EventGenerator	30.134
2.7242	43	proton	EventGenerator	30.124
2.743	81	proton	EventGenerator	30.071
2.2977	87	proton	EventGenerator	30.809
2.7992	44	proton	EventGenerator	30.052
2.2724	95	proton	EventGenerator	30.772
2.612	150	proton	EventGenerator	30.322
2.6037	192	proton	EventGenerator	30.266
2.4904	194	proton	EventGenerator	30.48
2.6691	287	proton	EventGenerator	30.23
2.5198	290	proton	EventGenerator	30.456
2.9501	323	proton	EventGenerator	29.973
2.6386	332	proton	EventGenerator	30.434
2.8908	376	proton	EventGenerator	29.964
2.7218	403	proton	EventGenerator	30.295
2.8074	466	proton	EventGenerator	29.985
3.088	547	proton	EventGenerator	29.513
3.1641	581	proton	EventGenerator	29.59
2.5203	652	proton	EventGenerator	30.442
2.6752	685	proton	EventGenerator	30.205
2.5592	717	proton	EventGenerator	30.505
2.9044	800	proton	EventGenerator	29.841
2.9922	857	proton	EventGenerator	29.866
2.69	880	proton	EventGenerator	30.228
2.8499	889	proton	EventGenerator	30.028
2.5027	918	proton	EventGenerator	30.541
2.4651	965	proton	EventGenerator	30.563
2.7098	970	proton	EventGenerator	30.259
2.5156	1041	proton	EventGenerator	30.368
2.772	1075	proton	EventGenerator	30.149
2.7888	1082	proton	EventGenerator	30.036
2.6723	1181	proton	EventGenerator	30.237
2.5712	1198	proton	EventGenerator	30.334
2.8237	1253	proton	EventGenerator	30.051
2.9609	1254	proton	EventGenerator	29.909
2.7887	1316	proton	EventGenerator	30.085
2.8443	1323	proton	EventGenerator	30.088
2.006	1357	proton	EventGenerator	31.217
2.9144	1360	proton	EventGenerator	29.977
2.8213	1365	proton	EventGenerator	29.996
2.5991	1492	proton	EventGenerator	30.366
2.9537	1583	proton	EventGenerator	30.018
3.0205	1604	proton	EventGenerator	29.905
2.6283	1621	proton	EventGenerator	30.36
2.4635	1673	proton	EventGenerator	30.441
2.8206	1679	proton	EventGenerator	29.988
2.4157	2027	proton	EventGenerator	30.56
2.716	2136	proton	EventGenerator	30.296
2.7221	2148	proton	EventGenerator	30.198
2.7597	2149	proton	EventGenerator	30.118
2.6294	2188	proton	EventGenerator	30.306
2.2105	2242	proton	EventGenerator	30.825
2.8845	2276	proton	EventGenerator	29.975
2.723	2297	proton	EventGenerator	30.251
2.6719	2322	proton	EventGenerator	30.203
2.8702	2343	proton	EventGenerator	30.059
3.0145	2375	proton	EventGenerator	29.643
2.7156	2466	proton	EventGenerator	30.258
2.6747	2696	proton	EventGenerator	30.276
2.6919	2711	proton	EventGenerator	30.255
2.6159	2761	proton	EventGenerator	30.385
2.4129	2815	proton	EventGenerator	30.645
2.5798	2859	proton	EventGenerator	30.342
2.5089	2917	proton	EventGenerator	30.475
2.6752	2960	proton	EventGenerator	30.22
2.8293	2963	proton	EventGenerator	30.027
2.7672	2969	proton	EventGenerator	30.164
2.6927	2971	proton	EventGenerator	30.197
2.8379	3135	proton	EventGenerator	30.077
3.0969	3137	proton	EventGenerator	29.731
2.7096	3179	proton	EventGenerator	30.051
2.3273	3229	proton	EventGenerator	30.792
2.442	3271	proton	EventGenerator	30.587
2.3295	3299	proton	EventGenerator	30.67
2.1931	3382	proton	EventGenerator	30.916
3.0979	3407	proton	EventGenerator	29.768
2.8012	3492	proton	EventGenerator	30.139
2.7714	3497	proton	EventGenerator	30.111
2.1556	3521	proton	EventGenerator	30.88
2.9794	3522	proton	EventGenerator	29.928
2.5224	3574	proton	EventGenerator	30.453
2.9357	3590	proton	EventGenerator	29.905
2.9052	3644	proton	EventGenerator	29.859
2.6259	3674	proton	EventGenerator	30.297
2.4323	3853	proton	EventGenerator	30.594
2.5724	3883	proton	EventGenerator	30.357
2.7572	3942	proton	EventGenerator	30.053
2.5133	4036	proton	EventGenerator	30.399
3.0446	4076	proton	EventGenerator	29.728
2.7725	4159	proton	EventGenerator	30.061
2.7608	4176	proton	EventGenerator	30.089
2.6842	4185	proton	EventGenerator	30.163
