E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.9982	0	e-	EventGenerator	0.065122
	0.70466	0	-1	EventGenerator/
10	1	e-	EventGenerator	0.065122
	0.36462	1	-1	EventGenerator/
9.9988	2	e-	EventGenerator	0.065122
	0.30815	2	-1	EventGenerator/
9.9998	3	e-	EventGenerator	0.065122
9.9998	3	gamma	eBrem	-1e+06
	0.29218	3	-1	EventGenerator/eBrem/
9.9997	4	e-	EventGenerator	0.065122
9.9997	4	gamma	eBrem	-1e+06
	0.27598	4	-1	EventGenerator/eBrem/
9.9997	5	e-	EventGenerator	0.065122
	0.28233	5	-1	EventGenerator/
9.9992	6	e-	EventGenerator	0.065137
	0.26651	6	-1	EventGenerator/
10	7	e-	EventGenerator	0.065122
0.1174	7	gamma	eBrem	0.067728
	0.41902	7	-1	EventGenerator/eBrem/
9.9999	8	e-	EventGenerator	0.065122
	0.45634	8	-1	EventGenerator/
10	9	e-	EventGenerator	0.065122
	0.34097	9	-1	EventGenerator/
9.9985	10	e-	EventGenerator	0.065122
9.9985	10	e-	eIoni	-1e+06
	0.66393	10	-1	EventGenerator/eIoni/
10	11	e-	EventGenerator	0.065122
	0.33434	11	-1	EventGenerator/
9.9999	12	e-	EventGenerator	0.065123
	0.47931	12	-1	EventGenerator/
9.9999	13	e-	EventGenerator	0.065122
	0.29471	13	-1	EventGenerator/
9.9999	14	e-	EventGenerator	0.065122
	0.35854	14	-1	EventGenerator/
9.9999	15	e-	EventGenerator	0.065122
	0.30226	15	-1	EventGenerator/
9.9999	16	e-	EventGenerator	0.065122
	0.33939	16	-1	EventGenerator/
9.9998	17	e-	EventGenerator	0.065122
	0.49469	17	-1	EventGenerator/
9.9999	18	e-	EventGenerator	0.065122
	0.24327	18	-1	EventGenerator/
9.9999	19	e-	EventGenerator	0.065122
	0.4151	19	-1	EventGenerator/
9.9999	20	e-	EventGenerator	0.065122
	0.34088	20	-1	EventGenerator/
10	21	e-	EventGenerator	0.065122
	0.70967	21	-1	EventGenerator/
9.9999	22	e-	EventGenerator	0.065122
	0.36633	22	-1	EventGenerator/
9.9997	23	e-	EventGenerator	0.065122
9.9997	23	gamma	eBrem	-1e+06
9.9997	23	e-	phot	-1e+06
	0.2838	23	-1	EventGenerator/eBrem/phot/
9.9999	24	e-	EventGenerator	0.065122
	0.40692	24	-1	EventGenerator/
