E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
8.7618	0	e-	EventGenerator	0.065529
	0.30078	0	-1	EventGenerator/
0.8675	1	gamma	eBrem	0.06564
8.9008	3	e-	EventGenerator	0.066365
	0.59077	3	-1	EventGenerator/
8.2249	6	e-	EventGenerator	0.068091
	0.13271	6	-1	EventGenerator/
8.7462	7	e-	EventGenerator	0.065442
8.7462	7	gamma	eBrem	-1e+06
	0.40726	7	-1	EventGenerator/eBrem/
8.8949	8	e-	EventGenerator	0.066767
8.8949	8	e-	eIoni	-1e+06
	0.72786	8	-1	EventGenerator/eIoni/
8.7878	9	e-	EventGenerator	0.06518
	0.25968	9	-1	EventGenerator/
8.0614	10	e-	EventGenerator	0.067352
0.69255	10	gamma	eBrem	0.065477
0.69255	10	e-	eIoni	-1e+06
	0.84243	10	-1	EventGenerator/eBrem/eIoni/
8.9116	11	e-	EventGenerator	0.068519
	0.40901	11	-1	EventGenerator/
6.7108	13	e-	EventGenerator	0.066349
	0.3134	13	-1	EventGenerator/
6.7585	16	gamma	eBrem	0.067213
5.4062	17	e-	EventGenerator	0.065696
3.4409	17	gamma	eBrem	0.065368
	0.48256	17	-1	EventGenerator/eBrem/
8.5095	19	e-	EventGenerator	0.067513
	0.34475	19	-1	EventGenerator/
8.499	20	e-	EventGenerator	0.06632
	0.31797	20	-1	EventGenerator/
4.1945	21	e-	EventGenerator	0.06621
	0.4292	21	-1	EventGenerator/
0.1637	24	gamma	eBrem	0.065132
8.5114	25	e-	EventGenerator	0.066294
	0.29303	25	-1	EventGenerator/
8.4392	26	e-	EventGenerator	0.065243
0.38185	26	gamma	eBrem	0.065463
0.11123	26	gamma	eBrem	0.06546
0.11123	26	gamma	eBrem	-1e+06
	0.39581	26	-1	EventGenerator/eBrem/eBrem/eBrem/
8.9604	27	e-	EventGenerator	0.065628
	0.26519	27	-1	EventGenerator/
8.2123	30	e-	EventGenerator	0.069122
8.2123	30	e-	eIoni	-1e+06
8.2123	30	gamma	eBrem	-1e+06
8.2123	30	e-	phot	-1e+06
	0.66637	30	-1	EventGenerator/eIoni/eBrem/phot/
9.0597	31	e-	EventGenerator	0.066888
9.0597	31	gamma	eBrem	-1e+06
	0.3241	31	-1	EventGenerator/eBrem/
8.8547	32	e-	EventGenerator	0.065292
	0.32712	32	-1	EventGenerator/
8.8221	34	e-	EventGenerator	0.065568
	0.3152	34	-1	EventGenerator/
8.765	35	e-	EventGenerator	0.065163
	0.34694	35	-1	EventGenerator/
8.947	36	e-	EventGenerator	0.066198
	0.42854	36	-1	EventGenerator/
8.8163	37	e-	EventGenerator	0.067778
	0.34257	37	-1	EventGenerator/
8.9295	38	e-	EventGenerator	0.065509
	0.34119	38	-1	EventGenerator/
4.6637	40	e-	EventGenerator	0.067869
2.0202	40	gamma	eBrem	0.066308
	0.3793	40	-1	EventGenerator/eBrem/
8.6324	41	e-	EventGenerator	0.067369
	0.3452	41	-1	EventGenerator/
8.7126	42	e-	EventGenerator	0.065192
	0.32728	42	-1	EventGenerator/
8.8318	44	e-	EventGenerator	0.067347
	0.41208	44	-1	EventGenerator/
6.1323	46	gamma	eBrem	0.065532
8.9352	47	e-	EventGenerator	0.067171
	0.42883	47	-1	EventGenerator/
5.2791	48	gamma	eBrem	0.065695
8.2661	49	e-	EventGenerator	0.0682
0.40636	49	gamma	eBrem	0.06705
	0.34347	49	-1	EventGenerator/eBrem/
0.28003	50	gamma	eBrem	0.068738
0.15246	50	gamma	eBrem	0.068861
8.7597	51	e-	EventGenerator	0.067437
	0.34274	51	-1	EventGenerator/
8.9426	54	e-	EventGenerator	0.067317
8.9426	54	e-	eIoni	-1e+06
	0.57625	54	-1	EventGenerator/eIoni/
0.26234	55	gamma	eBrem	0.065111
8.4465	57	e-	EventGenerator	0.066089
	0.28282	57	-1	EventGenerator/
8.2477	60	e-	EventGenerator	0.0657
	0.40851	60	-1	EventGenerator/
8.8012	61	e-	EventGenerator	0.068678
	0.021268	61	-1	EventGenerator/
8.8498	63	e-	EventGenerator	0.065466
	0.50432	63	-1	EventGenerator/
8.5071	65	e-	EventGenerator	0.066269
	0.28417	65	-1	EventGenerator/
8.2843	66	e-	EventGenerator	0.06592
	0.2792	66	-1	EventGenerator/
7.2691	67	e-	EventGenerator	0.06805
1.4248	67	gamma	eBrem	0.067526
	0.27303	67	-1	EventGenerator/eBrem/
8.8536	68	e-	EventGenerator	0.068565
