E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.7455	0	e-	EventGenerator	0.06514
	0.55353	0	-1	EventGenerator/
9.8078	1	e-	EventGenerator	0.065254
	0.43617	1	-1	EventGenerator/
9.8725	2	e-	EventGenerator	0.065127
9.8725	2	gamma	eBrem	-1e+06
	0.35628	2	-1	EventGenerator/eBrem/
9.7918	3	e-	EventGenerator	0.065154
9.7918	3	gamma	eBrem	-1e+06
	0.2826	3	-1	EventGenerator/eBrem/
9.8476	4	e-	EventGenerator	0.065136
	0.26141	4	-1	EventGenerator/
9.8533	5	e-	EventGenerator	0.065258
	0.29473	5	-1	EventGenerator/
9.8546	6	e-	EventGenerator	0.066612
	0.29472	6	-1	EventGenerator/
9.856	7	e-	EventGenerator	0.065701
	0.3674	7	-1	EventGenerator/
9.2969	8	e-	EventGenerator	0.06549
	0.29542	8	-1	EventGenerator/
9.7109	9	e-	EventGenerator	0.065309
9.7109	9	gamma	eBrem	-1e+06
	0.52246	9	-1	EventGenerator/eBrem/
9.811	10	e-	EventGenerator	0.065124
	0.2943	10	-1	EventGenerator/
9.8489	11	e-	EventGenerator	0.065149
	0.30651	11	-1	EventGenerator/
9.7082	12	e-	EventGenerator	0.065189
9.7082	12	gamma	eBrem	-1e+06
9.7082	12	e-	phot	-1e+06
	0.41604	12	-1	EventGenerator/eBrem/phot/
9.8531	13	e-	EventGenerator	0.065135
	0.37931	13	-1	EventGenerator/
9.8681	14	e-	EventGenerator	0.065174
9.8681	14	gamma	eBrem	-1e+06
	0.35849	14	-1	EventGenerator/eBrem/
9.8482	15	e-	EventGenerator	0.065163
	0.29559	15	-1	EventGenerator/
9.8477	16	e-	EventGenerator	0.065175
9.8477	16	gamma	eBrem	-1e+06
9.8477	16	e-	phot	-1e+06
	0.35363	16	-1	EventGenerator/eBrem/phot/
9.8494	17	e-	EventGenerator	0.065205
	0.27492	17	-1	EventGenerator/
9.7615	18	e-	EventGenerator	0.06516
	0.34457	18	-1	EventGenerator/
9.8159	19	e-	EventGenerator	0.065168
	0.3408	19	-1	EventGenerator/
9.8492	20	e-	EventGenerator	0.065285
	0.2817	20	-1	EventGenerator/
9.8174	21	e-	EventGenerator	0.065149
9.8174	21	gamma	eBrem	-1e+06
	0.29036	21	-1	EventGenerator/eBrem/
9.8405	22	e-	EventGenerator	0.065204
	0.26972	22	-1	EventGenerator/
5.5061	23	e-	EventGenerator	0.066661
4.2873	23	e-	eIoni	0.066706
4.2873	23	e-	eIoni	-1e+06
	0.72851	23	-1	EventGenerator/eIoni/eIoni/
9.8679	24	e-	EventGenerator	0.06516
	0.44795	24	-1	EventGenerator/
9.8584	25	e-	EventGenerator	0.06517
	0.26296	25	-1	EventGenerator/
9.8554	26	e-	EventGenerator	0.065272
	0.30519	26	-1	EventGenerator/
9.8588	27	e-	EventGenerator	0.065128
	0.28855	27	-1	EventGenerator/
9.8611	28	e-	EventGenerator	0.065358
	0.31197	28	-1	EventGenerator/
9.7195	29	e-	EventGenerator	0.065124
	0.33424	29	-1	EventGenerator/
9.8557	30	e-	EventGenerator	0.065163
	0.42038	30	-1	EventGenerator/
7.9044	31	e-	EventGenerator	0.065926
1.6318	31	e-	eIoni	0.070161
1.6318	31	gamma	eBrem	-1e+06
	0.70036	31	-1	EventGenerator/eIoni/eBrem/
9.8537	32	e-	EventGenerator	0.065125
	0.27776	32	-1	EventGenerator/
9.8495	33	e-	EventGenerator	0.065208
	0.34988	33	-1	EventGenerator/
9.8536	34	e-	EventGenerator	0.06527
	0.27199	34	-1	EventGenerator/
9.8575	35	e-	EventGenerator	0.065188
	0.31849	35	-1	EventGenerator/
9.848	36	e-	EventGenerator	0.065137
	0.28479	36	-1	EventGenerator/
9.8547	37	e-	EventGenerator	0.065292
	0.29104	37	-1	EventGenerator/
9.8717	38	e-	EventGenerator	0.065172
	0.83439	38	-1	EventGenerator/
9.789	39	e-	EventGenerator	0.065156
	0.29546	39	-1	EventGenerator/
9.848	40	e-	EventGenerator	0.065134
	0.33171	40	-1	EventGenerator/
9.8366	41	e-	EventGenerator	0.065175
	0.43785	41	-1	EventGenerator/
9.8422	42	e-	EventGenerator	0.065167
	0.27119	42	-1	EventGenerator/
9.8563	43	e-	EventGenerator	0.06514
	0.35646	43	-1	EventGenerator/
9.8143	44	e-	EventGenerator	0.065128
	0.46273	44	-1	EventGenerator/
9.7481	45	e-	EventGenerator	0.065163
	0.29667	45	-1	EventGenerator/
9.8494	46	e-	EventGenerator	0.065238
	0.3073	46	-1	EventGenerator/
9.8508	47	e-	EventGenerator	0.06514
	0.30073	47	-1	EventGenerator/
9.8778	48	e-	EventGenerator	0.065202
	0.37739	48	-1	EventGenerator/
9.831	49	e-	EventGenerator	0.065478
	0.3538	49	-1	EventGenerator/
9.8534	50	e-	EventGenerator	0.06513
	0.30808	50	-1	EventGenerator/
9.8592	51	e-	EventGenerator	0.065148
	0.4048	51	-1	EventGenerator/
9.8835	52	e-	EventGenerator	0.065215
	0.27506	52	-1	EventGenerator/
9.7831	53	e-	EventGenerator	0.065226
	0.32946	53	-1	EventGenerator/
9.854	54	e-	EventGenerator	0.065136
	0.29021	54	-1	EventGenerator/
9.8508	55	e-	EventGenerator	0.065199
	0.35132	55	-1	EventGenerator/
9.4976	56	e-	EventGenerator	0.065182
	0.25518	56	-1	EventGenerator/
9.8555	57	e-	EventGenerator	0.065133
	0.50441	57	-1	EventGenerator/
9.8625	58	e-	EventGenerator	0.065233
9.8625	58	gamma	eBrem	-1e+06
9.8625	58	e-	phot	-1e+06
	0.32304	58	-1	EventGenerator/eBrem/phot/
9.8563	59	e-	EventGenerator	0.065188
	0.55574	59	-1	EventGenerator/
9.8394	60	e-	EventGenerator	0.065131
	0.35472	60	-1	EventGenerator/
9.8552	61	e-	EventGenerator	0.065136
	0.30429	61	-1	EventGenerator/
9.8705	62	e-	EventGenerator	0.065134
	0.27496	62	-1	EventGenerator/
9.8455	63	e-	EventGenerator	0.065166
	0.39344	63	-1	EventGenerator/
9.8663	64	e-	EventGenerator	0.065198
