E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
10	0	gamma	EventGenerator	0.065045
10	1	gamma	EventGenerator	0.065045
10	2	gamma	EventGenerator	0.065045
10	3	gamma	EventGenerator	0.065045
10	4	gamma	EventGenerator	0.065045
10	5	gamma	EventGenerator	0.065045
10	6	gamma	EventGenerator	0.065045
10	7	gamma	EventGenerator	0.065045
10	8	gamma	EventGenerator	0.065045
10	9	gamma	EventGenerator	0.065045
10	10	gamma	EventGenerator	0.065045
10	11	gamma	EventGenerator	0.065045
10	12	gamma	EventGenerator	0.065045
10	13	gamma	EventGenerator	0.065045
10	14	gamma	EventGenerator	0.065045
10	15	gamma	EventGenerator	0.065045
10	16	gamma	EventGenerator	0.065045
10	17	gamma	EventGenerator	0.065045
10	18	gamma	EventGenerator	0.065045
10	19	gamma	EventGenerator	0.065045
10	20	gamma	EventGenerator	0.065045
10	21	gamma	EventGenerator	0.065045
10	22	gamma	EventGenerator	0.065045
10	23	gamma	EventGenerator	0.065045
10	24	gamma	EventGenerator	0.065045
10	25	gamma	EventGenerator	0.065045
10	26	gamma	EventGenerator	0.065045
10	27	gamma	EventGenerator	0.065045
10	28	gamma	EventGenerator	0.065045
10	29	gamma	EventGenerator	0.065045
10	30	gamma	EventGenerator	0.065045
10	31	gamma	EventGenerator	0.065045
10	32	gamma	EventGenerator	0.065045
10	33	gamma	EventGenerator	0.065045
10	34	gamma	EventGenerator	0.065045
10	35	gamma	EventGenerator	0.065045
10	36	gamma	EventGenerator	0.065045
10	37	gamma	EventGenerator	0.065045
10	38	gamma	EventGenerator	0.065045
10	39	gamma	EventGenerator	0.065045
10	40	gamma	EventGenerator	0.065045
10	41	gamma	EventGenerator	0.065045
10	42	gamma	EventGenerator	0.065045
10	43	gamma	EventGenerator	0.065045
10	44	gamma	EventGenerator	0.065045
10	45	gamma	EventGenerator	0.065045
10	46	gamma	EventGenerator	0.065045
10	47	gamma	EventGenerator	0.065045
10	48	gamma	EventGenerator	0.065045
10	49	gamma	EventGenerator	0.065045
10	50	gamma	EventGenerator	0.065045
10	51	gamma	EventGenerator	0.065045
10	52	gamma	EventGenerator	0.065045
10	53	gamma	EventGenerator	0.065045
10	54	gamma	EventGenerator	0.065045
10	55	gamma	EventGenerator	0.065045
10	56	gamma	EventGenerator	0.065045
10	57	gamma	EventGenerator	0.065045
10	58	gamma	EventGenerator	0.065045
10	59	gamma	EventGenerator	0.065045
10	60	gamma	EventGenerator	0.065045
10	61	gamma	EventGenerator	0.065045
10	62	gamma	EventGenerator	0.065045
10	63	gamma	EventGenerator	0.065045
10	64	gamma	EventGenerator	0.065045
10	65	gamma	EventGenerator	0.065045
10	66	gamma	EventGenerator	0.065045
