E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
9.9908	0	proton	EventGenerator	0.44918
	9.9908	0	-1	EventGenerator/
9.989	1	proton	EventGenerator	0.4492
	9.989	1	-1	EventGenerator/
9.9969	2	proton	EventGenerator	0.44911
	9.9969	2	-1	EventGenerator/
9.995	3	proton	EventGenerator	0.44913
	9.995	3	-1	EventGenerator/
9.9923	4	proton	EventGenerator	0.44916
	9.9923	4	-1	EventGenerator/
9.9962	5	proton	EventGenerator	0.44912
	9.9962	5	-1	EventGenerator/
9.9925	6	proton	EventGenerator	0.44916
	9.9925	6	-1	EventGenerator/
9.9966	7	proton	EventGenerator	0.44911
	9.9966	7	-1	EventGenerator/
9.9915	8	proton	EventGenerator	0.44917
	9.9914	8	-1	EventGenerator/
9.9943	9	proton	EventGenerator	0.44914
	9.9943	9	-1	EventGenerator/
9.9949	10	proton	EventGenerator	0.44913
	9.9949	10	-1	EventGenerator/
9.9973	11	proton	EventGenerator	0.44911
	9.9973	11	-1	EventGenerator/
9.9956	12	proton	EventGenerator	0.44912
	9.9956	12	-1	EventGenerator/
9.9968	13	proton	EventGenerator	0.44911
	9.9968	13	-1	EventGenerator/
9.9957	14	proton	EventGenerator	0.44912
	9.9957	14	-1	EventGenerator/
9.9956	15	proton	EventGenerator	0.44912
	9.9956	15	-1	EventGenerator/
9.994	16	proton	EventGenerator	0.44914
	9.994	16	-1	EventGenerator/
9.9976	17	proton	EventGenerator	0.4491
	9.9976	17	-1	EventGenerator/
9.9955	18	proton	EventGenerator	0.44913
	9.9955	18	-1	EventGenerator/
9.9968	19	proton	EventGenerator	0.44911
	9.9968	19	-1	EventGenerator/
9.9934	20	proton	EventGenerator	0.44915
	9.9934	20	-1	EventGenerator/
9.9974	21	proton	EventGenerator	0.4491
	9.9974	21	-1	EventGenerator/
9.9962	22	proton	EventGenerator	0.44912
	9.9962	22	-1	EventGenerator/
9.9962	23	proton	EventGenerator	0.44912
	9.9962	23	-1	EventGenerator/
9.9897	24	proton	EventGenerator	0.44918
	9.9897	24	-1	EventGenerator/
9.9963	25	proton	EventGenerator	0.44912
	9.9963	25	-1	EventGenerator/
9.9952	26	proton	EventGenerator	0.44913
	9.9952	26	-1	EventGenerator/
9.9958	27	proton	EventGenerator	0.44912
	9.9958	27	-1	EventGenerator/
9.992	28	proton	EventGenerator	0.44916
	9.992	28	-1	EventGenerator/
9.9866	29	proton	EventGenerator	0.44922
	9.9866	29	-1	EventGenerator/
9.9957	30	proton	EventGenerator	0.44912
	9.9957	30	-1	EventGenerator/
9.9971	31	proton	EventGenerator	0.44911
	9.997	31	-1	EventGenerator/
9.993	32	proton	EventGenerator	0.44915
	9.993	32	-1	EventGenerator/
9.9944	33	proton	EventGenerator	0.44913
	9.9944	33	-1	EventGenerator/
9.996	34	proton	EventGenerator	0.44912
	9.996	34	-1	EventGenerator/
9.9966	35	proton	EventGenerator	0.44911
	9.9966	35	-1	EventGenerator/
9.9977	36	proton	EventGenerator	0.4491
	9.9977	36	-1	EventGenerator/
9.9962	37	proton	EventGenerator	0.44912
	9.9961	37	-1	EventGenerator/
9.9968	38	proton	EventGenerator	0.44911
	9.9968	38	-1	EventGenerator/
9.995	39	proton	EventGenerator	0.44913
	9.995	39	-1	EventGenerator/
9.9965	40	proton	EventGenerator	0.44911
	9.9965	40	-1	EventGenerator/
9.9955	41	proton	EventGenerator	0.44913
	9.9955	41	-1	EventGenerator/
9.9951	42	proton	EventGenerator	0.44913
	9.9951	42	-1	EventGenerator/
9.9917	43	proton	EventGenerator	0.44917
	9.9917	43	-1	EventGenerator/
9.9908	44	proton	EventGenerator	0.44918
	9.9908	44	-1	EventGenerator/
9.9981	45	proton	EventGenerator	0.4491
	9.998	45	-1	EventGenerator/
9.9957	46	proton	EventGenerator	0.44912
	9.9957	46	-1	EventGenerator/
9.9966	47	proton	EventGenerator	0.44911
	9.9966	47	-1	EventGenerator/
9.9935	48	proton	EventGenerator	0.44915
	9.9935	48	-1	EventGenerator/
9.9973	49	proton	EventGenerator	0.44911
	9.9972	49	-1	EventGenerator/
9.9925	50	proton	EventGenerator	0.44916
	9.9925	50	-1	EventGenerator/
9.9967	51	proton	EventGenerator	0.44911
	9.9967	51	-1	EventGenerator/
9.9963	52	proton	EventGenerator	0.44912
	9.9963	52	-1	EventGenerator/
9.9956	53	proton	EventGenerator	0.44913
	9.9956	53	-1	EventGenerator/
9.998	54	proton	EventGenerator	0.4491
	9.998	54	-1	EventGenerator/
9.9948	55	proton	EventGenerator	0.44913
	9.9948	55	-1	EventGenerator/
9.9952	56	proton	EventGenerator	0.44913
	9.9952	56	-1	EventGenerator/
9.9974	57	proton	EventGenerator	0.4491
	9.9974	57	-1	EventGenerator/
9.9954	58	proton	EventGenerator	0.44913
	9.9954	58	-1	EventGenerator/
9.9973	59	proton	EventGenerator	0.44911
	9.9973	59	-1	EventGenerator/
9.9971	60	proton	EventGenerator	0.44911
	9.9971	60	-1	EventGenerator/
9.9939	61	proton	EventGenerator	0.44914
	9.9939	61	-1	EventGenerator/
9.9948	62	proton	EventGenerator	0.44913
	9.9948	62	-1	EventGenerator/
9.994	63	proton	EventGenerator	0.44914
	9.994	63	-1	EventGenerator/
9.9939	64	proton	EventGenerator	0.44914
	9.9939	64	-1	EventGenerator/
9.9933	65	proton	EventGenerator	0.44915
	9.9933	65	-1	EventGenerator/
9.9966	66	proton	EventGenerator	0.44911
	9.9966	66	-1	EventGenerator/
9.9945	67	proton	EventGenerator	0.44914
	9.9945	67	-1	EventGenerator/
9.9955	68	proton	EventGenerator	0.44912
	9.9955	68	-1	EventGenerator/
9.9896	69	proton	EventGenerator	0.44919
	9.9896	69	-1	EventGenerator/
9.9969	70	proton	EventGenerator	0.44911
	9.9969	70	-1	EventGenerator/
9.9966	71	proton	EventGenerator	0.44911
	9.9966	71	-1	EventGenerator/
9.9942	72	proton	EventGenerator	0.44914
	9.9942	72	-1	EventGenerator/
9.9697	73	proton	EventGenerator	0.4494
	9.9697	73	-1	EventGenerator/
9.9952	74	proton	EventGenerator	0.44913
	9.9952	74	-1	EventGenerator/
9.9955	75	proton	EventGenerator	0.44912
	9.9955	75	-1	EventGenerator/
9.997	76	proton	EventGenerator	0.44911
	9.997	76	-1	EventGenerator/
9.9946	77	proton	EventGenerator	0.44913
	9.9946	77	-1	EventGenerator/
9.9957	78	proton	EventGenerator	0.44912
	9.9957	78	-1	EventGenerator/
9.9937	79	proton	EventGenerator	0.44914
	9.9937	79	-1	EventGenerator/
9.9929	80	proton	EventGenerator	0.44915
	9.9929	80	-1	EventGenerator/
9.9964	81	proton	EventGenerator	0.44911
	9.9964	81	-1	EventGenerator/
9.9958	82	proton	EventGenerator	0.44912
	9.9958	82	-1	EventGenerator/
9.9954	83	proton	EventGenerator	0.44912
	9.9954	83	-1	EventGenerator/
9.996	84	proton	EventGenerator	0.44912
	9.996	84	-1	EventGenerator/
9.9968	85	proton	EventGenerator	0.44911
	9.9968	85	-1	EventGenerator/
9.9955	86	proton	EventGenerator	0.44912
	9.9955	86	-1	EventGenerator/
9.997	87	proton	EventGenerator	0.44911
	9.997	87	-1	EventGenerator/
9.9958	88	proton	EventGenerator	0.44912
	9.9958	88	-1	EventGenerator/
9.9949	89	proton	EventGenerator	0.44913
	9.9949	89	-1	EventGenerator/
9.9967	90	proton	EventGenerator	0.44911
	9.9967	90	-1	EventGenerator/
9.9949	91	proton	EventGenerator	0.44913
	9.9949	91	-1	EventGenerator/
9.9969	92	proton	EventGenerator	0.44911
	9.9968	92	-1	EventGenerator/
9.9967	93	proton	EventGenerator	0.44911
	9.9967	93	-1	EventGenerator/
9.9947	94	proton	EventGenerator	0.44913
	9.9947	94	-1	EventGenerator/
9.9959	95	proton	EventGenerator	0.44912
	9.9959	95	-1	EventGenerator/
9.9972	96	proton	EventGenerator	0.44911
	9.9972	96	-1	EventGenerator/
9.9976	97	proton	EventGenerator	0.4491
	9.9975	97	-1	EventGenerator/
9.9952	98	proton	EventGenerator	0.44913
	9.9952	98	-1	EventGenerator/
9.9898	99	proton	EventGenerator	0.44918
	9.9898	99	-1	EventGenerator/
9.9959	0	proton	EventGenerator	0.44912
	9.9959	0	-1	EventGenerator/
9.9961	1	proton	EventGenerator	0.44912
	9.996	1	-1	EventGenerator/
