E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
6.7709	2	e-	EventGenerator	0.065561
1.5091	2	gamma	eBrem	0.066195
0.22169	2	gamma	eBrem	0.06561
	0.43217	2	-1	EventGenerator/eBrem/eBrem/
0.38751	4	gamma	eBrem	0.065295
1.2778	5	gamma	eBrem	0.065826
0.27494	6	gamma	eBrem	0.066425
0.29597	7	gamma	eBrem	0.066141
2.1	7	gamma	eBrem	0.066535
8.9656	8	e-	EventGenerator	0.068142
	0.34004	8	-1	EventGenerator/
4.303	12	gamma	eBrem	0.065856
5.1451	14	e-	EventGenerator	0.06724
1.0835	14	gamma	eBrem	0.067322
	0.62757	14	-1	EventGenerator/eBrem/
0.35999	16	gamma	eBrem	0.069334
0.12685	17	gamma	eBrem	0.070953
8.7013	19	e-	EventGenerator	0.066802
	0.3034	19	-1	EventGenerator/
5.9936	20	e-	EventGenerator	0.069206
2.553	20	gamma	eBrem	0.067607
2.553	20	gamma	eBrem	-1e+06
	0.33168	20	-1	EventGenerator/eBrem/eBrem/
2.5631	21	gamma	eBrem	0.06632
8.6599	22	e-	EventGenerator	0.068581
	0.12597	22	-1	EventGenerator/
7.6344	23	e-	EventGenerator	0.06665
	0.42727	23	-1	EventGenerator/
0.26678	24	gamma	eBrem	0.066886
8.9045	25	e-	EventGenerator	0.066016
	0.34837	25	-1	EventGenerator/
8.6352	26	e-	EventGenerator	0.066492
	0.45829	26	-1	EventGenerator/
8.9564	28	e-	EventGenerator	0.068747
8.9564	28	gamma	eBrem	-1e+06
	0.31207	28	-1	EventGenerator/eBrem/
8.1191	35	e-	EventGenerator	0.069201
8.1191	35	e-	eIoni	-1e+06
8.1191	35	gamma	eBrem	-1e+06
8.1191	35	e-	compt	-1e+06
	0.77012	35	-1	EventGenerator/eIoni/eBrem/compt/
8.8366	36	e-	EventGenerator	0.067407
	0.41874	36	-1	EventGenerator/
5.7746	37	e-	EventGenerator	0.067762
	0.39775	37	-1	EventGenerator/
7.6285	38	e-	EventGenerator	0.065443
0.68877	38	gamma	eBrem	0.065722
0.30205	38	gamma	eBrem	0.065775
	0.43989	38	-1	EventGenerator/eBrem/eBrem/
7.8456	46	e-	EventGenerator	0.067272
0.7137	46	gamma	eBrem	0.068183
	0.29152	46	-1	EventGenerator/eBrem/
1.2141	47	gamma	eBrem	0.06574
0.23794	48	gamma	eBrem	0.068831
8.4729	50	e-	EventGenerator	0.06587
	0.34348	50	-1	EventGenerator/
2.6432	51	e-	EventGenerator	0.068231
0.23278	51	gamma	eBrem	0.068997
1.3149	51	gamma	eBrem	0.065194
1.5321	51	gamma	eBrem	0.067922
	0.66988	51	-1	EventGenerator/eBrem/eBrem/eBrem/
1.9568	53	gamma	eBrem	0.065711
3.4097	56	e-	EventGenerator	0.070848
2.7452	56	gamma	eBrem	0.065711
2.7452	56	gamma	eBrem	-1e+06
2.7452	56	e-	phot	-1e+06
	0.34177	56	-1	EventGenerator/eBrem/eBrem/phot/
2.8596	58	e-	eIoni	0.067598
1.6339	58	gamma	eBrem	0.068542
	0.34323	58	-1	eIoni/eBrem/
2.2379	59	gamma	eBrem	0.067626
2.2379	59	e-	compt	-1e+06
	0.095442	59	-1	eBrem/compt/
7.8013	60	e-	EventGenerator	0.065613
	0.31302	60	-1	EventGenerator/
8.1224	61	e-	EventGenerator	0.067978
	0.36725	61	-1	EventGenerator/
8.6974	63	e-	EventGenerator	0.066866
	0.32627	63	-1	EventGenerator/
1.5187	65	gamma	eBrem	0.066404
4.9592	66	e-	EventGenerator	0.066817
1.3327	66	gamma	eBrem	0.067873
	0.33659	66	-1	EventGenerator/eBrem/
1.5576	69	e-	EventGenerator	0.075898
