E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
3.9145	0	proton	EventGenerator	0.57525
	3.9145	0	-1	EventGenerator/
3.8229	1	proton	EventGenerator	0.57902
	3.8229	1	-1	EventGenerator/
4.0298	2	proton	EventGenerator	0.56997
	4.0298	2	-1	EventGenerator/
3.9723	3	proton	EventGenerator	0.57192
	3.9723	3	-1	EventGenerator/
3.6849	4	proton	EventGenerator	0.58458
	3.6849	4	-1	EventGenerator/
3.7481	5	proton	EventGenerator	0.58194
	3.7481	5	-1	EventGenerator/
4.0261	6	proton	EventGenerator	0.56967
	4.0261	6	-1	EventGenerator/
3.8242	7	proton	EventGenerator	0.57996
	3.8242	7	-1	EventGenerator/
3.9895	8	proton	EventGenerator	0.5731
	3.9895	8	-1	EventGenerator/
3.8219	9	proton	EventGenerator	0.58017
	3.8219	9	-1	EventGenerator/
3.7638	10	proton	EventGenerator	0.58153
	3.7638	10	-1	EventGenerator/
3.7315	11	proton	EventGenerator	0.58308
	3.7315	11	-1	EventGenerator/
4.0625	12	proton	EventGenerator	0.57374
	4.0625	12	-1	EventGenerator/
3.9408	13	proton	EventGenerator	0.57351
	3.9408	13	-1	EventGenerator/
4.1214	14	proton	EventGenerator	0.56803
	4.1214	14	-1	EventGenerator/
3.73	15	proton	EventGenerator	0.58312
	3.73	15	-1	EventGenerator/
4.1247	16	proton	EventGenerator	0.56633
	4.1247	16	-1	EventGenerator/
3.8779	17	proton	EventGenerator	0.57598
	3.8779	17	-1	EventGenerator/
3.9594	18	proton	EventGenerator	0.57296
	3.9594	18	-1	EventGenerator/
4.1196	19	proton	EventGenerator	0.56616
	4.1196	19	-1	EventGenerator/
3.866	20	proton	EventGenerator	0.57662
	3.866	20	-1	EventGenerator/
3.819	21	proton	EventGenerator	0.57912
	3.819	21	-1	EventGenerator/
3.8989	22	proton	EventGenerator	0.57637
	3.8989	22	-1	EventGenerator/
3.7001	23	proton	EventGenerator	0.58389
	3.7001	23	-1	EventGenerator/
3.9244	24	proton	EventGenerator	0.57406
	3.9244	24	-1	EventGenerator/
4.1568	25	proton	EventGenerator	0.56486
	4.1568	25	-1	EventGenerator/
3.9941	26	proton	EventGenerator	0.5712
	3.9941	26	-1	EventGenerator/
4.0513	27	proton	EventGenerator	0.56893
	4.0513	27	-1	EventGenerator/
3.9323	28	proton	EventGenerator	0.57432
	3.9323	28	-1	EventGenerator/
3.9471	29	proton	EventGenerator	0.57306
	3.9471	29	-1	EventGenerator/
3.6658	30	proton	EventGenerator	0.5855
	3.6658	30	-1	EventGenerator/
3.8811	31	proton	EventGenerator	0.57678
	3.8811	31	-1	EventGenerator/
3.8088	32	proton	EventGenerator	0.57946
	3.8088	32	-1	EventGenerator/
3.8702	33	proton	EventGenerator	0.57631
	3.8702	33	-1	EventGenerator/
3.8592	34	proton	EventGenerator	0.5768
	3.8592	34	-1	EventGenerator/
4.0381	35	proton	EventGenerator	0.56913
	4.0381	35	-1	EventGenerator/
3.8305	36	proton	EventGenerator	0.57861
	3.8304	36	-1	EventGenerator/
3.7334	37	proton	EventGenerator	0.58229
	3.7334	37	-1	EventGenerator/
4.0024	38	proton	EventGenerator	0.57077
	4.0024	38	-1	EventGenerator/
3.9278	39	proton	EventGenerator	0.57402
	3.9278	39	-1	EventGenerator/
3.7833	40	proton	EventGenerator	0.58043
	3.7833	40	-1	EventGenerator/
3.8216	41	proton	EventGenerator	0.57835
	3.8216	41	-1	EventGenerator/
3.9474	42	proton	EventGenerator	0.57394
	3.9474	42	-1	EventGenerator/
3.9794	43	proton	EventGenerator	0.57161
	3.9794	43	-1	EventGenerator/
