E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
6.0532	12	proton	EventGenerator	17.916
5.9228	15	proton	EventGenerator	18.025
5.8788	17	proton	EventGenerator	17.993
5.7244	25	proton	EventGenerator	18.157
5.9709	37	proton	EventGenerator	17.978
5.8695	42	proton	EventGenerator	18.106
6.0322	57	proton	EventGenerator	17.972
5.8314	64	proton	EventGenerator	18.064
5.752	72	proton	EventGenerator	18.173
6.2032	73	proton	EventGenerator	17.897
6.167	84	proton	EventGenerator	17.813
5.7334	97	proton	EventGenerator	18.152
6.0863	11	proton	EventGenerator	17.894
5.9837	16	proton	EventGenerator	17.974
6.0171	44	proton	EventGenerator	17.987
5.7291	57	proton	EventGenerator	18.183
6.023	73	proton	EventGenerator	17.97
6.0662	87	proton	EventGenerator	17.885
5.9614	96	proton	EventGenerator	18.018
5.9829	98	proton	EventGenerator	17.972
5.9201	118	proton	EventGenerator	18.075
6.05	125	proton	EventGenerator	17.938
6.1654	127	proton	EventGenerator	17.819
5.9145	130	proton	EventGenerator	18.024
5.9666	134	proton	EventGenerator	18.024
5.8706	137	proton	EventGenerator	18.017
5.971	140	proton	EventGenerator	17.978
6.0263	145	proton	EventGenerator	17.942
5.9882	150	proton	EventGenerator	17.97
6.0289	173	proton	EventGenerator	17.96
5.9033	184	proton	EventGenerator	18.03
6.2652	188	proton	EventGenerator	17.824
5.7824	208	proton	EventGenerator	18.148
6.1263	220	proton	EventGenerator	17.92
6.046	222	proton	EventGenerator	17.937
6.0468	225	proton	EventGenerator	17.991
5.8122	255	proton	EventGenerator	18.076
5.7524	281	proton	EventGenerator	18.133
5.9186	300	proton	EventGenerator	18.075
5.8747	308	proton	EventGenerator	18.123
6.105	314	proton	EventGenerator	17.912
6.2076	318	proton	EventGenerator	17.854
6.0128	328	proton	EventGenerator	17.984
6.018	330	proton	EventGenerator	17.981
5.928	338	proton	EventGenerator	18.079
5.7571	356	proton	EventGenerator	18.167
5.9522	357	proton	EventGenerator	17.994
5.944	373	proton	EventGenerator	17.98
6.0708	384	proton	EventGenerator	17.903
5.9405	388	proton	EventGenerator	18.056
5.9603	402	proton	EventGenerator	17.991
5.8369	425	proton	EventGenerator	18.09
5.9348	443	proton	EventGenerator	18.011
6.0191	455	proton	EventGenerator	17.973
6.0569	460	proton	EventGenerator	17.915
6.0433	466	proton	EventGenerator	17.972
5.9771	474	proton	EventGenerator	17.977
5.7894	483	proton	EventGenerator	18.152
6.0503	510	proton	EventGenerator	17.959
5.8269	546	proton	EventGenerator	18.081
